,0
1787,17.1
1788,18.2
1789,18.9
1790,18.3
1791,18.0
1792,17.9
1793,17.3
1794,16.9
1795,16.4
1796,16.4
1797,16.2
1798,16.2
1799,16.0
1800,16.0
1801,15.7
1802,15.7
1803,15.7
1804,15.6
1805,15.5
1806,15.7
1807,15.8
1808,15.9
1809,14.1
1810,14.1
1811,14.4
1812,17.3
1813,20.0
1814,17.9
1815,17.4
1816,17.2
1817,16.9
1818,16.2
1819,15.9
1820,15.9
1821,16.0
1822,16.0
1823,15.8
1824,15.8
1825,16.3
1826,16.3
1827,16.3
1828,16.3
1829,16.3
1830,16.3
1831,16.4
1832,17.0
1833,16.3
1834,19.1
1835,20.0
1836,19.7
1837,19.3
1838,20.2
1839,20.4
1840,20.0
1841,20.0
1842,18.3
1843,16.2
1844,18.6
1845,16.0
1846,18.9
1847,18.3
1848,17.0
1849,17.2
1850,17.1
1851,17.1
1852,16.3
1853,16.2
1854,16.1
1855,16.0
1856,16.1
1857,17.2
1858,17.2
1859,17.0
1860,17.1
1861,16.6
1862,16.6
1863,18.0
1864,16.6
1865,16.6
1866,16.1
1867,15.1
1868,15.3
1869,15.3
1870,15.9
1871,16.1
1872,15.1
1873,16.0
1874,16.2
1875,16.3
1876,16.5
1877,16.2
1878,16.1
1879,16.1
1880,15.1
1881,17.9
1882,16.0
1883,17.7
1884,17.1
1885,16.2
1886,17.0
1887,16.8
1888,16.8
1889,16.2
1890,15.9
1891,15.5
1892,15.4
1893,16.9
1894,15.5
1895,15.7
1896,15.1
1897,15.1
1898,15.1
1899,14.9
1900,14.8
1901,14.3
1902,14.3
1903,14.3
1904,17.1
1905,17.1
1906,15.4
1907,15.4
1908,15.9
1909,15.4
1910,15.8
1911,16.1
1912,16.1
1913,15.8
1914,15.3
1915,15.0
1916,15.0
1917,14.8
1918,15.0
1919,15.0
1920,14.6
1921,14.6
1922,14.6
1923,15.0
1924,15.1
1925,15.1
1926,15.2
1927,15.5
1928,15.5
1929,15.5
1930,15.5
1931,16.6
1932,16.6
1933,17.0
1934,13.9
1935,13.2
1936,13.2
1937,13.1
1938,13.2
1939,13.1
1940,13.2
1941,13.5
1942,13.7
1943,13.7
1944,13.7
1945,13.5
1946,13.9
1947,13.6
1948,13.6
1949,13.4
1950,13.5
1951,13.4
1952,13.9
1953,13.5
1954,15.7
1955,17.4
1956,17.4
1957,16.7
1958,17.0
1959,16.9
1960,17.3
1961,17.3
1962,17.0
1963,17.0
1964,17.0
1965,17.0
1966,17.0
1967,17.0
1968,17.0
1969,17.0
1970,17.1
1971,16.1
1972,17.4
1973,17.4
1974,17.4
1975,17.0
1976,17.4
1977,17.4
1978,21.3
1979,21.3
1980,22.6
1981,22.5
1982,22.0
1983,22.7
1984,22.0
1985,19.7
1986,18.5
1987,17.5
1988,17.1
1989,17.0
1990,17.0
1991,16.1
1992,14.9
1993,15.5
1994,14.9
1995,15.1
1996,15.1
1997,14.3
1998,14.3
1999,14.6
2000,15.8
2001,17.7
2002,21.0
2003,24.0
2004,26.0
2005,23.0
2006,23.0
2007,23.0
2008,22.0
2009,20.2
2010,20.1
2011,19.7
2012,19.5
2013,19.8
2014,19.0
2015,18.6
2016,18.1
2017,18.1
2018,17.8
2019,17.5
2020,17.1
2021,17.1
2022,17.5
2023,17.4
2024,16.9
2025,17.2
2026,22.6
2027,24.4
2028,24.9
2029,25.7
2030,25.5
2031,23.0
2032,20.0
2033,18.6
2034,19.0
2035,19.2
2036,19.2
2037,19.7
2038,19.3
2039,19.6
2040,17.6
2041,17.3
2042,18.0
2043,18.0
2044,18.0
2045,18.9
2046,18.5
